timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559634727494,136,Checkout_49 /ShopItV60/fin.asp,200,OK,Thread Group 1-3,text,true,,1320,412,3,3,http://demo.borland.com/ShopItV60/fin.asp,136,0,0
1559634727514,136,Checkout_48 /ShopItV60/thanks.asp,200,OK,Thread Group 1-2,text,true,,1268,502,3,3,http://demo.borland.com/ShopItV60/thanks.asp,136,0,0
1559634727536,135,Checkout_48 /ShopItV60/thanks.asp,200,OK,Thread Group 1-1,text,true,,1269,503,3,3,http://demo.borland.com/ShopItV60/thanks.asp,134,0,0
1559634727631,136,Checkout_50 /ShopItV60/default.asp,200,OK,Thread Group 1-3,text,true,,1833,468,3,3,http://demo.borland.com/ShopItV60/default.asp,136,0,0
1559634726539,1211,Checkout_42 /ShopItV60/main.asp,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-3,,true,,12432,4205,3,3,null,1208,17,134
1559634727651,135,Checkout_49 /ShopItV60/fin.asp,200,OK,Thread Group 1-2,text,true,,1320,412,3,3,http://demo.borland.com/ShopItV60/fin.asp,135,0,0
1559634727672,134,Checkout_49 /ShopItV60/fin.asp,200,OK,Thread Group 1-1,text,true,,1320,412,3,3,http://demo.borland.com/ShopItV60/fin.asp,134,0,0
1559634727786,136,Checkout_50 /ShopItV60/default.asp,200,OK,Thread Group 1-2,text,true,,1833,468,3,3,http://demo.borland.com/ShopItV60/default.asp,136,0,0
1559634726673,1241,Checkout_42 /ShopItV60/main.asp,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-2,,true,,12434,4205,3,3,null,1238,8,134
1559634727808,135,Checkout_50 /ShopItV60/default.asp,200,OK,Thread Group 1-1,text,true,,1833,468,3,3,http://demo.borland.com/ShopItV60/default.asp,134,0,0
1559634726696,1233,Checkout_42 /ShopItV60/main.asp,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 1-1,,true,,12433,4211,3,3,null,1230,14,133
1559634727769,280,Search_99 /,200,OK,Thread Group 1-3,text,true,,1463,326,3,3,http://demo.borland.com/,280,0,138
1559634728049,143,Search_105 /TestSite/Index.html,200,OK,Thread Group 1-3,text,true,,1726,380,3,3,http://demo.borland.com/TestSite/Index.html,142,0,0
1559634727926,268,Search_99 /,200,OK,Thread Group 1-2,text,true,,1463,326,3,3,http://demo.borland.com/,267,0,133
1559634727945,282,Search_99 /,200,OK,Thread Group 1-1,text,true,,1463,326,3,3,http://demo.borland.com/,281,0,140
1559634728194,136,Search_105 /TestSite/Index.html,200,OK,Thread Group 1-2,text,true,,1726,380,3,3,http://demo.borland.com/TestSite/Index.html,136,0,0
1559634728192,143,Search_111 /ShopItV60/default.asp,200,OK,Thread Group 1-3,text,true,,1900,401,3,3,http://demo.borland.com/ShopItV60/default.asp,142,0,0
1559634728227,143,Search_105 /TestSite/Index.html,200,OK,Thread Group 1-1,text,true,,1726,380,3,3,http://demo.borland.com/TestSite/Index.html,142,0,0
1559634728331,135,Search_111 /ShopItV60/default.asp,200,OK,Thread Group 1-2,text,true,,1900,401,3,3,http://demo.borland.com/ShopItV60/default.asp,135,0,0
1559634728335,142,Search_119 /ShopItV60/main.asp,200,OK,Thread Group 1-3,text,true,,1251,468,3,3,http://demo.borland.com/ShopItV60/main.asp?from=welcome,141,0,0
1559634728371,142,Search_111 /ShopItV60/default.asp,200,OK,Thread Group 1-1,text,true,,1900,401,3,3,http://demo.borland.com/ShopItV60/default.asp,142,0,0
1559634728467,135,Search_119 /ShopItV60/main.asp,200,OK,Thread Group 1-2,text,true,,1251,468,3,3,http://demo.borland.com/ShopItV60/main.asp?from=welcome,135,0,0
1559634728478,145,Search_121 /ShopItV60/main.asp,200,OK,Thread Group 1-3,text,true,,1693,566,3,3,http://demo.borland.com/ShopItV60/main.asp,145,0,0
1559634728513,142,Search_119 /ShopItV60/main.asp,200,OK,Thread Group 1-1,text,true,,1251,468,3,3,http://demo.borland.com/ShopItV60/main.asp?from=welcome,141,0,0
1559634728603,136,Search_121 /ShopItV60/main.asp,200,OK,Thread Group 1-2,text,true,,1693,566,3,3,http://demo.borland.com/ShopItV60/main.asp,136,0,0
1559634728624,142,Search_122 /ShopItV60/search.asp,200,OK,Thread Group 1-3,text,true,,1438,468,3,3,http://demo.borland.com/ShopItV60/search.asp,141,0,0
1559634728655,143,Search_121 /ShopItV60/main.asp,200,OK,Thread Group 1-1,text,true,,1693,566,3,3,http://demo.borland.com/ShopItV60/main.asp,143,0,0
1559634728740,136,Search_122 /ShopItV60/search.asp,200,OK,Thread Group 1-2,text,true,,1438,468,3,3,http://demo.borland.com/ShopItV60/search.asp,136,0,0
1559634728799,146,Search_122 /ShopItV60/search.asp,200,OK,Thread Group 1-1,text,true,,1438,468,3,3,http://demo.borland.com/ShopItV60/search.asp,144,0,0
1559634728766,316,Search_126 /ShopItV60/checkselection.asp,200,OK,Thread Group 1-3,text,true,,2241,1008,3,3,http://demo.borland.com/ShopItV60/product.asp?code=9,141,0,0
1559634728766,141,Search_126 /ShopItV60/checkselection.asp-0,302,Object moved,Thread Group 1-3,text,true,,428,515,3,3,http://demo.borland.com/ShopItV60/checkselection.asp?product=shirt&Button=Submit+with+GET,141,0,0
